,Date,Price,Open,High,Low,Vol.,Change %,portid_rizhao,portname_rizhao,country_rizhao,ISO3_rizhao,portcalls_container_rizhao,portcalls_dry_bulk_rizhao,portcalls_general_cargo_rizhao,portcalls_roro_rizhao,portcalls_tanker_rizhao,portcalls_cargo_rizhao,portcalls_rizhao,import_container_rizhao,import_dry_bulk_rizhao,import_general_cargo_rizhao,import_roro_rizhao,import_tanker_rizhao,import_cargo_rizhao,import_rizhao,export_container_rizhao,export_dry_bulk_rizhao,export_general_cargo_rizhao,export_roro_rizhao,export_tanker_rizhao,export_cargo_rizhao,export_rizhao,ObjectId_rizhao,portid_santos,portname_santos,country_santos,ISO3_santos,portcalls_container_santos,portcalls_dry_bulk_santos,portcalls_general_cargo_santos,portcalls_roro_santos,portcalls_tanker_santos,portcalls_cargo_santos,portcalls_santos,import_container_santos,import_dry_bulk_santos,import_general_cargo_santos,import_roro_santos,import_tanker_santos,import_cargo_santos,import_santos,export_container_santos,export_dry_bulk_santos,export_general_cargo_santos,export_roro_santos,export_tanker_santos,export_cargo_santos,export_santos,ObjectId_santos
1492,2019-01-18,916.75,908.25,920.25,905.75,112.89K,0.99%,port1105,Rizhao,China,CHN,2,4,3,0,0,9,9,1897.76434710598,250200.418058256,8573.11486374715,0.0,0.0,260671.297269109,260671.297269109,0.0,18077.6828971831,6220.16893494902,0.0,0.0,24297.8518321321,24297.8518321321,250598,port1160,Santos,Brazil,BRA,5,4,1,0,1,10,11,7410.78167635617,0.0,5607.13628787428,0.0,0.0,13017.9179642305,13017.9179642305,47034.9857965786,90476.7358640512,0.0,0.0,14159.3341551533,137511.72166063,151671.055815783,372530
1491,2019-01-20,915.00,915.00,915.00,915.00,,-0.19%,port1105,Rizhao,China,CHN,3,8,0,0,0,11,11,15111.0570634633,295577.864649632,0.0,0.0,0.0,310688.921713095,310688.921713095,15246.5090381599,24424.3434556864,0.0,0.0,0.0,39670.8524938464,39670.8524938464,250604,port1160,Santos,Brazil,BRA,8,3,1,1,2,13,15,88747.7502169843,0.0,15018.5845843682,0.0,34078.8523030006,103766.334801352,137845.187104353,53822.8612813343,78283.8490885246,0.0,2192.83498465077,0.0,134299.54535451,134299.54535451,372540
1490,2019-01-21,914.00,916.25,916.25,914.00,,-0.11%,port1105,Rizhao,China,CHN,0,4,0,0,0,4,4,0.0,215527.96288459,0.0,0.0,0.0,215527.96288459,215527.96288459,0.0,19233.5148066765,0.0,0.0,0.0,19233.5148066765,19233.5148066765,250607,port1160,Santos,Brazil,BRA,4,1,3,0,2,8,10,9349.16888315842,0.0,19115.7103178029,0.0,216.030630803572,28464.8792009613,28680.9098317649,9542.44117444166,25950.4173766754,11953.1520834294,0.0,12901.3146689046,47446.0106345465,60347.3253034511,372544
1489,2019-01-22,909.25,916.50,919.50,899.50,126.77K,-0.52%,port1105,Rizhao,China,CHN,3,8,0,0,0,11,11,5051.70362876049,202924.280668437,0.0,0.0,0.0,207975.984297198,207975.984297198,3313.80901213473,665.304998377754,0.0,0.0,0.0,3979.11401051249,3979.11401051249,250610,port1160,Santos,Brazil,BRA,6,4,0,1,2,11,13,4262.82578136022,24273.1802435802,0.0,0.0,7279.89501104503,28536.0060249404,35815.9010359854,10205.0806587933,32863.8236105814,0.0,1345.58087172122,14579.3954736172,44414.4851410959,58993.8806147131,372548
1488,2019-01-23,915.00,911.00,918.25,910.50,72.12K,0.63%,port1105,Rizhao,China,CHN,3,3,0,0,0,6,6,0.0,178129.327967919,0.0,0.0,0.0,178129.327967919,178129.327967919,27633.7331246729,0.0,0.0,0.0,0.0,27633.7331246729,27633.7331246729,250613,port1160,Santos,Brazil,BRA,7,3,0,1,4,11,15,0.0,23645.6510601056,0.0,0.0,7758.30111548427,23645.6510601056,31403.9521755898,69612.2936851111,60255.5400736274,0.0,1090.57552270666,14025.7037676257,130958.409281445,144984.113049071,372552
1487,2019-01-24,916.00,915.00,919.50,909.25,85.83K,0.11%,port1105,Rizhao,China,CHN,2,5,0,0,0,7,7,10229.4547289656,192605.042450953,0.0,0.0,0.0,202834.497179919,202834.497179919,0.0,28468.4881813225,0.0,0.0,0.0,28468.4881813225,28468.4881813225,250615,port1160,Santos,Brazil,BRA,5,4,1,2,3,12,15,18882.7647187509,0.0,1041.21417864592,0.0,14510.8882406637,19923.9788973968,34434.8671380605,16024.9270799817,84141.2749923213,0.0,7584.00834038021,11374.1461011705,107750.210412683,119124.356513854,372553
1486,2019-01-25,925.25,915.75,926.25,913.00,103.76K,1.01%,port1105,Rizhao,China,CHN,1,5,1,0,0,7,7,0.0,189714.401153088,0.0,0.0,0.0,189714.401153088,189714.401153088,1511.9219538465,2844.65510373523,5326.85240996974,0.0,0.0,9683.42946755147,9683.42946755147,250618,port1160,Santos,Brazil,BRA,4,2,0,0,1,6,7,7959.51139093488,0.0,0.0,0.0,0.0,7959.51139093488,7959.51139093488,20462.1363988911,82484.5722444928,0.0,0.0,0.0,102946.708643384,102946.708643384,372554
1485,2019-01-28,923.25,923.50,925.00,915.75,69.62K,-0.22%,port1105,Rizhao,China,CHN,1,5,0,0,0,6,6,0.0,110117.8343138,0.0,0.0,0.0,110117.8343138,110117.8343138,7196.845228708,12150.5256133088,0.0,0.0,0.0,19347.3708420168,19347.3708420168,250627,port1160,Santos,Brazil,BRA,6,2,1,0,2,9,11,85172.3183303802,0.0,0.0,0.0,0.0,85172.3183303802,85172.3183303802,51668.8651357752,67257.9584750781,10708.1675765044,0.0,25954.709135462,129634.991187358,155589.70032282,372557
1484,2019-01-29,919.00,921.75,922.25,916.75,86.95K,-0.46%,port1105,Rizhao,China,CHN,1,5,0,0,0,6,6,0.0,246127.026230237,0.0,0.0,0.0,246127.026230237,246127.026230237,10600.2020230241,17684.0706934149,0.0,0.0,0.0,28284.272716439,28284.272716439,250630,port1160,Santos,Brazil,BRA,7,3,1,2,2,13,15,8976.82542738334,0.0,477.779314486245,449.716390893998,19916.7149663034,9904.32113276358,29821.036099067,57708.2101810925,65357.5561003007,0.0,3446.65551625389,0.0,126512.421797647,126512.421797647,372558
1483,2019-01-30,921.00,919.00,924.00,917.25,68.24K,0.22%,port1105,Rizhao,China,CHN,1,3,0,0,0,4,4,0.0,37408.1862561301,0.0,0.0,0.0,37408.1862561301,37408.1862561301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250633,port1160,Santos,Brazil,BRA,7,2,0,0,5,9,14,39167.5268517116,0.0,0.0,0.0,9631.2422101023,39167.5268517116,48798.7690618139,48316.6231420614,82754.0264726704,0.0,0.0,24106.7459659197,131070.649614732,155177.395580652,372559
