,date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
1091726,2019/01/19 00:00:00+00,2019,1,19,port183,Buenaventura,Colombia,COL,2,1,0,0,1,3,4,17780.9053116569,4985.12167751983,0.0,0.0,1048.47975392258,22766.0269891767,23814.5067430993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091727
1091727,2019/01/20 00:00:00+00,2019,1,20,port183,Buenaventura,Colombia,COL,2,1,0,0,0,3,3,10382.0717783161,5754.12550441259,0.0,0.0,0.0,16136.1972827287,16136.1972827287,7855.87793540762,0.0,0.0,0.0,0.0,7855.87793540762,7855.87793540762,1091728
1091728,2019/01/21 00:00:00+00,2019,1,21,port183,Buenaventura,Colombia,COL,2,1,0,0,1,3,4,0.0,4075.02868725437,0.0,0.0,7111.13221994272,4075.02868725437,11186.1609071971,6918.15803927367,0.0,0.0,0.0,0.0,6918.15803927367,6918.15803927367,1091729
1091729,2019/01/22 00:00:00+00,2019,1,22,port183,Buenaventura,Colombia,COL,3,3,0,0,0,6,6,36867.0561914433,51220.6627242607,0.0,0.0,0.0,88087.718915704,88087.718915704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091730
1091730,2019/01/23 00:00:00+00,2019,1,23,port183,Buenaventura,Colombia,COL,2,0,0,0,0,2,2,10978.3378438093,0.0,0.0,0.0,0.0,10978.3378438093,10978.3378438093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091731
1091731,2019/01/24 00:00:00+00,2019,1,24,port183,Buenaventura,Colombia,COL,4,4,0,0,2,8,10,19099.2461167849,65451.9752853581,0.0,0.0,2963.14691783593,84551.221402143,87514.368319979,4750.59995685064,0.0,0.0,0.0,155.031580932196,4750.59995685064,4905.63153778284,1091732
1091732,2019/01/25 00:00:00+00,2019,1,25,port183,Buenaventura,Colombia,COL,3,1,0,0,0,4,4,5909.69649881874,0.0,0.0,0.0,0.0,5909.69649881874,5909.69649881874,21991.0542553799,29398.9853423122,0.0,0.0,0.0,51390.039597692,51390.039597692,1091733
1091733,2019/01/26 00:00:00+00,2019,1,26,port183,Buenaventura,Colombia,COL,3,1,1,0,0,5,5,19421.7346658961,22360.3323275797,5513.49972162335,0.0,0.0,47295.5667150991,47295.5667150991,2715.44017654635,0.0,0.0,0.0,0.0,2715.44017654635,2715.44017654635,1091734
1091734,2019/01/27 00:00:00+00,2019,1,27,port183,Buenaventura,Colombia,COL,1,1,0,0,0,2,2,13723.7709195069,2436.35339230619,0.0,0.0,0.0,16160.1243118131,16160.1243118131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091735
1091735,2019/01/28 00:00:00+00,2019,1,28,port183,Buenaventura,Colombia,COL,2,1,0,1,0,4,4,12053.3664175404,17440.6857395257,0.0,2286.59392916762,0.0,31780.6460862337,31780.6460862337,5874.73318349043,0.0,0.0,0.0,0.0,5874.73318349043,5874.73318349043,1091736
1091736,2019/01/29 00:00:00+00,2019,1,29,port183,Buenaventura,Colombia,COL,2,1,0,0,0,3,3,9817.35444952606,393.771763277848,0.0,0.0,0.0,10211.1262128039,10211.1262128039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091737
1091737,2019/01/30 00:00:00+00,2019,1,30,port183,Buenaventura,Colombia,COL,2,0,1,0,0,3,3,6201.46617110461,0.0,5130.07763973343,0.0,0.0,11331.543810838,11331.543810838,9863.6894417689,0.0,0.0,0.0,0.0,9863.6894417689,9863.6894417689,1091738
1091738,2019/01/31 00:00:00+00,2019,1,31,port183,Buenaventura,Colombia,COL,4,2,0,1,0,7,7,5743.34702571376,8185.42171739684,0.0,631.567866013693,0.0,14560.3366091243,14560.3366091243,16454.1187148632,33879.2141904575,0.0,0.0,0.0,50333.3329053207,50333.3329053207,1091739
1091739,2019/02/01 00:00:00+00,2019,2,1,port183,Buenaventura,Colombia,COL,3,0,0,0,0,3,3,6938.49858117808,0.0,0.0,0.0,0.0,6938.49858117808,6938.49858117808,23236.8410045286,0.0,0.0,0.0,0.0,23236.8410045286,23236.8410045286,1091740
1091740,2019/02/02 00:00:00+00,2019,2,2,port183,Buenaventura,Colombia,COL,3,1,0,0,0,4,4,27476.3722090736,21939.8493390896,0.0,0.0,0.0,49416.2215481632,49416.2215481632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091741
1091741,2019/02/03 00:00:00+00,2019,2,3,port183,Buenaventura,Colombia,COL,1,1,0,0,0,2,2,10953.1619290067,23866.9445499694,0.0,0.0,0.0,34820.1064789761,34820.1064789761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091742
1091742,2019/02/04 00:00:00+00,2019,2,4,port183,Buenaventura,Colombia,COL,3,0,0,1,0,4,4,8606.95572828683,0.0,0.0,1364.0536890806,0.0,9971.00941736744,9971.00941736744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091743
1091743,2019/02/05 00:00:00+00,2019,2,5,port183,Buenaventura,Colombia,COL,3,3,1,0,0,7,7,20362.2589295817,44246.9906874407,3902.94425357902,0.0,0.0,68512.1938706014,68512.1938706014,7873.65968141877,1168.37379261669,0.0,0.0,0.0,9042.03347403547,9042.03347403547,1091744
1091744,2019/02/06 00:00:00+00,2019,2,6,port183,Buenaventura,Colombia,COL,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091745
1091745,2019/02/07 00:00:00+00,2019,2,7,port183,Buenaventura,Colombia,COL,4,0,0,1,1,5,6,5541.06150510333,0.0,0.0,7258.23078012543,4620.13233662355,12799.2922852288,17419.4246218523,32524.3396610383,0.0,0.0,0.0,0.0,32524.3396610383,32524.3396610383,1091746
1091746,2019/02/08 00:00:00+00,2019,2,8,port183,Buenaventura,Colombia,COL,3,0,0,0,1,3,4,5225.50329397043,0.0,0.0,0.0,0.0,5225.50329397043,5225.50329397043,25130.0157398528,0.0,0.0,0.0,425.867391191783,25130.0157398528,25555.8831310446,1091747
1091747,2019/02/09 00:00:00+00,2019,2,9,port183,Buenaventura,Colombia,COL,2,0,0,2,1,4,5,20672.4604704665,0.0,0.0,3724.9839376926,0.0,24397.4444081591,24397.4444081591,0.0,0.0,0.0,0.0,308.183535290675,0.0,308.183535290675,1091748
1091631,2019/02/10 00:00:00+00,2019,2,10,port183,Buenaventura,Colombia,COL,3,1,0,0,1,4,5,29712.2352786497,14334.0929748399,0.0,0.0,1600.00234321089,44046.3282534896,45646.3305967005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091632
1091690,2019/02/11 00:00:00+00,2019,2,11,port183,Buenaventura,Colombia,COL,2,1,0,0,0,3,3,3090.08297936219,0.0,0.0,0.0,0.0,3090.08297936219,3090.08297936219,2006.45054515844,15262.7142205964,0.0,0.0,0.0,17269.1647657549,17269.1647657549,1091691
1091696,2019/02/12 00:00:00+00,2019,2,12,port183,Buenaventura,Colombia,COL,2,2,0,0,0,4,4,16719.4095459611,20300.1181847496,0.0,0.0,0.0,37019.5277307106,37019.5277307106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091697
1091749,2019/02/13 00:00:00+00,2019,2,13,port183,Buenaventura,Colombia,COL,1,1,0,1,0,3,3,2400.96103925887,32237.5928773227,0.0,1825.63828275898,0.0,36464.1921993406,36464.1921993406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091750
1091751,2019/02/14 00:00:00+00,2019,2,14,port183,Buenaventura,Colombia,COL,3,1,1,0,1,5,6,4758.38813046971,5544.84226016865,4297.43570935876,0.0,3990.27271005108,14600.6660999971,18590.9388100482,10824.6204558387,0.0,0.0,0.0,0.0,10824.6204558387,10824.6204558387,1091752
1091765,2019/02/15 00:00:00+00,2019,2,15,port183,Buenaventura,Colombia,COL,3,0,0,0,0,3,3,5356.15960335454,0.0,0.0,0.0,0.0,5356.15960335454,5356.15960335454,2341.73696139324,0.0,0.0,0.0,0.0,2341.73696139324,2341.73696139324,1091766
1091770,2019/02/16 00:00:00+00,2019,2,16,port183,Buenaventura,Colombia,COL,1,3,0,0,1,4,5,0.0,24458.2567653767,0.0,0.0,309.917700862876,24458.2567653767,24768.1744662396,7609.91243250002,0.0,0.0,0.0,0.0,7609.91243250002,7609.91243250002,1091771
1091776,2019/02/17 00:00:00+00,2019,2,17,port183,Buenaventura,Colombia,COL,3,1,0,0,0,4,4,52022.0755054084,10577.2107348057,0.0,0.0,0.0,62599.286240214,62599.286240214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091777
1091782,2019/02/18 00:00:00+00,2019,2,18,port183,Buenaventura,Colombia,COL,3,2,0,0,0,5,5,1748.69284261273,26835.4141176012,0.0,0.0,0.0,28584.106960214,28584.106960214,3380.94748737401,0.0,0.0,0.0,0.0,3380.94748737401,3380.94748737401,1091783
1091788,2019/02/19 00:00:00+00,2019,2,19,port183,Buenaventura,Colombia,COL,1,0,0,0,1,1,2,12038.9566710362,0.0,0.0,0.0,0.0,12038.9566710362,12038.9566710362,0.0,0.0,0.0,0.0,324.786329149396,0.0,324.786329149396,1091789
1091794,2019/02/20 00:00:00+00,2019,2,20,port183,Buenaventura,Colombia,COL,3,0,0,1,0,4,4,1368.5813772578,0.0,0.0,2588.13777395049,0.0,3956.71915120828,3956.71915120828,16512.8004206337,0.0,0.0,0.0,0.0,16512.8004206337,16512.8004206337,1091795
1091806,2019/02/21 00:00:00+00,2019,2,21,port183,Buenaventura,Colombia,COL,4,0,0,0,1,4,5,15814.4696113318,0.0,0.0,0.0,3772.47045989368,15814.4696113318,19586.9400712255,12215.7065892495,0.0,0.0,0.0,0.0,12215.7065892495,12215.7065892495,1091807
1091811,2019/02/22 00:00:00+00,2019,2,22,port183,Buenaventura,Colombia,COL,3,0,0,0,0,3,3,8171.60280681937,0.0,0.0,0.0,0.0,8171.60280681937,8171.60280681937,22427.663789492,0.0,0.0,0.0,0.0,22427.663789492,22427.663789492,1091812
1091817,2019/02/23 00:00:00+00,2019,2,23,port183,Buenaventura,Colombia,COL,1,1,0,0,0,2,2,21441.7875869565,0.0,0.0,0.0,0.0,21441.7875869565,21441.7875869565,0.0,959.18121124446,0.0,0.0,0.0,959.18121124446,959.18121124446,1091818
