,Date,Price,Open,High,Low,Vol.,Change %,portid_buenaventura,portname_buenaventura,country_buenaventura,ISO3_buenaventura,portcalls_container_buenaventura,portcalls_dry_bulk_buenaventura,portcalls_general_cargo_buenaventura,portcalls_roro_buenaventura,portcalls_tanker_buenaventura,portcalls_cargo_buenaventura,portcalls_buenaventura,import_container_buenaventura,import_dry_bulk_buenaventura,import_general_cargo_buenaventura,import_roro_buenaventura,import_tanker_buenaventura,import_cargo_buenaventura,import_buenaventura,export_container_buenaventura,export_dry_bulk_buenaventura,export_general_cargo_buenaventura,export_roro_buenaventura,export_tanker_buenaventura,export_cargo_buenaventura,export_buenaventura,ObjectId_buenaventura,portid_neworleans,portname_neworleans,country_neworleans,ISO3_neworleans,portcalls_container_neworleans,portcalls_dry_bulk_neworleans,portcalls_general_cargo_neworleans,portcalls_roro_neworleans,portcalls_tanker_neworleans,portcalls_cargo_neworleans,portcalls_neworleans,import_container_neworleans,import_dry_bulk_neworleans,import_general_cargo_neworleans,import_roro_neworleans,import_tanker_neworleans,import_cargo_neworleans,import_neworleans,export_container_neworleans,export_dry_bulk_neworleans,export_general_cargo_neworleans,export_roro_neworleans,export_tanker_neworleans,export_cargo_neworleans,export_neworleans,ObjectId_neworleans
1464,2019-01-16,105.55,104.25,106.1,103.9,13.13K,0.96%,port183,Buenaventura,Colombia,COL,1,1,0,0,1,2,3,0.0,25231.582541268,0.0,0.0,793.160539233531,25231.582541268,26024.7430805015,11057.8350615222,0.0,0.0,0.0,0.0,11057.8350615222,11057.8350615222,1091724,port812,New Orleans,United States,USA,2,13,0,0,5,15,20,0.0,34258.9203374478,0.0,0.0,0.0,34258.9203374478,34258.9203374478,9487.34797646562,187339.000409484,0.0,0.0,27188.149345196,196826.34838595,224014.497731146,3123881
1463,2019-01-17,105.55,105.35,106.65,104.9,9.64K,0.00%,port183,Buenaventura,Colombia,COL,5,2,0,0,0,7,7,10639.7165742601,16872.5516172065,0.0,0.0,0.0,27512.2681914666,27512.2681914666,28435.0715574533,0.0,0.0,0.0,0.0,28435.0715574533,28435.0715574533,1091725,port812,New Orleans,United States,USA,3,8,0,0,4,11,15,945.726658674546,20347.3645168509,0.0,0.0,0.0,21293.0911755255,21293.0911755255,4777.37901712514,147734.730333852,0.0,0.0,27433.0137061593,152512.109350977,179945.123057137,3123886
1462,2019-01-18,108.05,105.85,109.2,105.75,11.94K,2.37%,port183,Buenaventura,Colombia,COL,3,0,0,1,0,4,4,6096.54273909992,0.0,0.0,1594.14928077051,0.0,7690.69201987043,7690.69201987043,20587.0977678926,0.0,0.0,0.0,0.0,20587.0977678926,20587.0977678926,1091726,port812,New Orleans,United States,USA,3,3,2,0,7,8,15,541.959029088554,21176.0377456736,561.88250334905,0.0,47849.5171677854,22279.8792781112,70129.3964458966,7516.11723809585,6628.48355336159,8877.99691997868,0.0,1843.11575599525,23022.5977114361,24865.7134674314,3123890
1461,2019-01-22,106.6,107.95,108.8,106.1,10.32K,-1.34%,port183,Buenaventura,Colombia,COL,3,3,0,0,0,6,6,36867.0561914433,51220.6627242607,0.0,0.0,0.0,88087.718915704,88087.718915704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091730,port812,New Orleans,United States,USA,1,14,2,0,4,17,21,0.0,98219.4129203017,2836.41264100313,0.0,23078.423610195,101055.825561305,124134.2491715,8824.37033565319,76367.4702982733,0.0,0.0,14514.9284325571,85191.8406339265,99706.7690664836,3123912
1460,2019-01-23,106.65,106.0,107.1,105.5,8.38K,0.05%,port183,Buenaventura,Colombia,COL,2,0,0,0,0,2,2,10978.3378438093,0.0,0.0,0.0,0.0,10978.3378438093,10978.3378438093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091731,port812,New Orleans,United States,USA,3,9,0,0,7,12,19,0.0,67801.1705746241,0.0,0.0,8536.06840334417,67801.1705746241,76337.2389779683,18481.5919870737,100236.755207536,0.0,0.0,28424.318995382,118718.34719461,147142.666189992,3123917
1459,2019-01-24,108.45,106.85,109.15,106.25,12.53K,1.69%,port183,Buenaventura,Colombia,COL,4,4,0,0,2,8,10,19099.2461167849,65451.9752853581,0.0,0.0,2963.14691783593,84551.221402143,87514.368319979,4750.59995685064,0.0,0.0,0.0,155.031580932196,4750.59995685064,4905.63153778284,1091732,port812,New Orleans,United States,USA,1,8,1,0,5,10,15,4233.41742392252,19449.4947247402,1849.86674279892,0.0,21330.4549020329,25532.7788914616,46863.2337934945,0.0,65694.8389817256,0.0,0.0,50152.6651564873,65694.8389817256,115847.504138213,3123939
1458,2019-01-25,109.9,109.05,110.2,108.35,14.72K,1.34%,port183,Buenaventura,Colombia,COL,3,1,0,0,0,4,4,5909.69649881874,0.0,0.0,0.0,0.0,5909.69649881874,5909.69649881874,21991.0542553799,29398.9853423122,0.0,0.0,0.0,51390.039597692,51390.039597692,1091733,port812,New Orleans,United States,USA,2,9,1,0,7,12,19,0.0,70195.3528519258,2980.78649632574,0.0,272.109513807064,73176.1393482516,73448.2488620587,6134.05929956316,92265.3121502291,0.0,0.0,32935.7236944699,98399.3714497923,131335.095144262,3123943
1457,2019-01-28,105.8,108.5,108.75,104.75,17.12K,-3.73%,port183,Buenaventura,Colombia,COL,2,1,0,1,0,4,4,12053.3664175404,17440.6857395257,0.0,2286.59392916762,0.0,31780.6460862337,31780.6460862337,5874.73318349043,0.0,0.0,0.0,0.0,5874.73318349043,5874.73318349043,1091736,port812,New Orleans,United States,USA,1,12,0,0,9,13,22,1735.55301137784,74873.5642909996,0.0,0.0,29167.4052520796,76609.1173023775,105776.522554457,0.0,115460.210233089,0.0,0.0,52994.8849456824,115460.210233089,168455.095178771,3123979
1456,2019-01-29,105.75,106.0,106.4,105.3,9.89K,-0.05%,port183,Buenaventura,Colombia,COL,2,1,0,0,0,3,3,9817.35444952606,393.771763277848,0.0,0.0,0.0,10211.1262128039,10211.1262128039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091737,port812,New Orleans,United States,USA,1,12,0,0,4,13,17,1777.82505226378,37468.9229074017,0.0,0.0,0.0,39246.7479596655,39246.7479596655,0.0,183046.079808859,0.0,0.0,31413.5411259269,183046.079808859,214459.620934786,3123981
1455,2019-01-30,105.3,105.95,106.45,105.2,8.69K,-0.43%,port183,Buenaventura,Colombia,COL,2,0,1,0,0,3,3,6201.46617110461,0.0,5130.07763973343,0.0,0.0,11331.543810838,11331.543810838,9863.6894417689,0.0,0.0,0.0,0.0,9863.6894417689,9863.6894417689,1091738,port812,New Orleans,United States,USA,2,7,1,0,9,10,19,10386.9296447763,32577.6838985211,0.0,0.0,12252.5068766834,42964.6135432974,55217.1204199808,473.954929283551,74913.5895424833,18310.045960195,0.0,46815.7859490948,93697.5904319619,140513.376381057,3123982
1454,2019-01-31,109.0,105.3,109.4,105.3,15.26K,3.51%,port183,Buenaventura,Colombia,COL,4,2,0,1,0,7,7,5743.34702571376,8185.42171739684,0.0,631.567866013693,0.0,14560.3366091243,14560.3366091243,16454.1187148632,33879.2141904575,0.0,0.0,0.0,50333.3329053207,50333.3329053207,1091739,port812,New Orleans,United States,USA,1,9,4,0,12,14,26,0.0,22696.0503124298,15912.3428156663,0.0,106206.01662306,38608.3931280962,144814.409751156,3147.57768658592,82780.6666140809,4773.31364432587,0.0,79132.3228527796,90701.5579449927,169833.880797772,3123984
