,date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
250710,2019/07/14 00:00:00+00,2019,7,14,port1105,Rizhao,China,CHN,3,7,0,0,0,10,10,0.0,285991.682222766,0.0,0.0,0.0,285991.682222766,285991.682222766,7163.13852445454,18283.1356436263,0.0,0.0,0.0,25446.2741680809,25446.2741680809,250711
250712,2019/09/22 00:00:00+00,2019,9,22,port1105,Rizhao,China,CHN,1,2,0,0,0,3,3,0.0,71444.9486826559,0.0,0.0,0.0,71444.9486826559,71444.9486826559,0.0,18176.1718848884,0.0,0.0,0.0,18176.1718848884,18176.1718848884,250713
250713,2019/09/23 00:00:00+00,2019,9,23,port1105,Rizhao,China,CHN,1,7,0,0,0,8,8,0.0,165235.635677083,0.0,0.0,0.0,165235.635677083,165235.635677083,965.773252029776,19791.7925519672,0.0,0.0,0.0,20757.565803997,20757.565803997,250714
250714,2019/09/24 00:00:00+00,2019,9,24,port1105,Rizhao,China,CHN,1,1,0,0,0,2,2,0.0,37811.5622126573,0.0,0.0,0.0,37811.5622126573,37811.5622126573,6406.33572515268,0.0,0.0,0.0,0.0,6406.33572515268,6406.33572515268,250715
250715,2019/09/25 00:00:00+00,2019,9,25,port1105,Rizhao,China,CHN,1,9,1,0,0,11,11,0.0,305635.14827931,0.0,0.0,0.0,305635.14827931,305635.14827931,0.0,4588.26518973307,0.0,0.0,0.0,4588.26518973307,4588.26518973307,250716
250716,2019/09/26 00:00:00+00,2019,9,26,port1105,Rizhao,China,CHN,1,7,1,0,0,9,9,0.0,360316.066959575,14047.5363127534,0.0,0.0,374363.603272328,374363.603272328,17547.8261754461,0.0,0.0,0.0,0.0,17547.8261754461,17547.8261754461,250717
250717,2019/09/27 00:00:00+00,2019,9,27,port1105,Rizhao,China,CHN,2,7,1,0,0,10,10,0.0,278647.406198729,0.0,0.0,0.0,278647.406198729,278647.406198729,8078.3141793513,31240.6121093544,3726.28881052036,0.0,0.0,43045.215099226,43045.215099226,250718
250718,2019/09/28 00:00:00+00,2019,9,28,port1105,Rizhao,China,CHN,2,4,0,0,0,6,6,0.0,181291.370643982,0.0,0.0,0.0,181291.370643982,181291.370643982,3228.34874825038,7471.5126103531,0.0,0.0,0.0,10699.8613586035,10699.8613586035,250719
250719,2019/09/29 00:00:00+00,2019,9,29,port1105,Rizhao,China,CHN,3,3,0,0,0,6,6,621.057176726892,97023.4991520677,0.0,0.0,0.0,97644.5563287946,97644.5563287946,11571.5418242119,0.0,0.0,0.0,0.0,11571.5418242119,11571.5418242119,250720
250720,2019/09/30 00:00:00+00,2019,9,30,port1105,Rizhao,China,CHN,1,6,1,0,0,8,8,0.0,284118.13974178,16911.2108313909,0.0,0.0,301029.350573171,301029.350573171,11703.7116122906,7826.61947815031,0.0,0.0,0.0,19530.3310904409,19530.3310904409,250721
250721,2019/10/01 00:00:00+00,2019,10,1,port1105,Rizhao,China,CHN,2,4,0,0,0,6,6,0.0,71485.1287290066,0.0,0.0,0.0,71485.1287290066,71485.1287290066,15067.3805254881,22282.3963311063,0.0,0.0,0.0,37349.7768565945,37349.7768565945,250722
250722,2019/10/02 00:00:00+00,2019,10,2,port1105,Rizhao,China,CHN,1,3,0,0,1,4,5,0.0,245021.804371927,0.0,0.0,2042.94407596086,245021.804371927,247064.748447888,5992.83404692273,3504.05123449879,0.0,0.0,0.0,9496.88528142152,9496.88528142152,250723
250723,2019/10/03 00:00:00+00,2019,10,3,port1105,Rizhao,China,CHN,1,3,1,0,0,5,5,0.0,132026.381926154,0.0,0.0,0.0,132026.381926154,132026.381926154,0.0,0.0,1969.33294286215,0.0,0.0,1969.33294286215,1969.33294286215,250724
250724,2019/10/04 00:00:00+00,2019,10,4,port1105,Rizhao,China,CHN,2,2,0,0,0,4,4,0.0,95461.9716956423,0.0,0.0,0.0,95461.9716956423,95461.9716956423,7306.21894664589,0.0,0.0,0.0,0.0,7306.21894664589,7306.21894664589,250725
250725,2019/10/05 00:00:00+00,2019,10,5,port1105,Rizhao,China,CHN,2,4,2,0,0,8,8,0.0,175878.02489966,30621.0067612152,0.0,0.0,206499.031660875,206499.031660875,7575.30565832031,9364.80203743177,0.0,0.0,0.0,16940.1076957521,16940.1076957521,250726
250726,2019/10/06 00:00:00+00,2019,10,6,port1105,Rizhao,China,CHN,1,7,1,0,1,9,10,815.387121662679,264640.489828538,0.0,0.0,7956.52991234827,265455.8769502,273412.406862549,8744.89123590795,5485.49309651798,783.417044401402,0.0,0.0,15013.8013768273,15013.8013768273,250727
250727,2019/10/07 00:00:00+00,2019,10,7,port1105,Rizhao,China,CHN,1,6,0,0,0,7,7,0.0,299793.459859274,0.0,0.0,0.0,299793.459859274,299793.459859274,2256.88937381875,2984.97163874873,0.0,0.0,0.0,5241.86101256747,5241.86101256747,250728
250728,2019/10/08 00:00:00+00,2019,10,8,port1105,Rizhao,China,CHN,1,6,0,0,0,7,7,0.0,250936.247479824,0.0,0.0,0.0,250936.247479824,250936.247479824,15509.1614605922,10718.0463456137,0.0,0.0,0.0,26227.2078062059,26227.2078062059,250729
250729,2019/10/09 00:00:00+00,2019,10,9,port1105,Rizhao,China,CHN,2,2,1,0,0,5,5,2051.41179887205,169088.669535637,1592.71170537086,0.0,0.0,172732.79303988,172732.79303988,10298.0703981428,0.0,0.0,0.0,0.0,10298.0703981428,10298.0703981428,250730
250730,2019/10/10 00:00:00+00,2019,10,10,port1105,Rizhao,China,CHN,2,3,0,0,0,5,5,0.0,172896.300148119,0.0,0.0,0.0,172896.300148119,172896.300148119,14399.597164086,0.0,0.0,0.0,0.0,14399.597164086,14399.597164086,250731
250731,2019/10/11 00:00:00+00,2019,10,11,port1105,Rizhao,China,CHN,1,4,0,0,0,5,5,0.0,235941.543811779,0.0,0.0,0.0,235941.543811779,235941.543811779,0.0,44739.4725467342,0.0,0.0,0.0,44739.4725467342,44739.4725467342,250732
250732,2019/10/12 00:00:00+00,2019,10,12,port1105,Rizhao,China,CHN,0,6,3,0,0,9,9,0.0,150358.638486628,0.0,0.0,0.0,150358.638486628,150358.638486628,0.0,11082.3625767128,10940.2856057282,0.0,0.0,22022.648182441,22022.648182441,250733
250733,2019/10/13 00:00:00+00,2019,10,13,port1105,Rizhao,China,CHN,3,4,1,0,0,8,8,0.0,175803.53792987,1075.11018952132,0.0,0.0,176878.648119392,176878.648119392,2539.82508862566,0.0,0.0,0.0,0.0,2539.82508862566,2539.82508862566,250734
250734,2019/10/14 00:00:00+00,2019,10,14,port1105,Rizhao,China,CHN,1,1,0,0,0,2,2,2658.51824340268,79646.7864171497,0.0,0.0,0.0,82305.3046605524,82305.3046605524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250735
250735,2019/10/15 00:00:00+00,2019,10,15,port1105,Rizhao,China,CHN,0,7,2,0,0,9,9,0.0,320654.069841907,5358.34985096202,0.0,0.0,326012.419692869,326012.419692869,0.0,13053.086467809,7861.48934020691,0.0,0.0,20914.5758080159,20914.5758080159,250736
250736,2019/10/16 00:00:00+00,2019,10,16,port1105,Rizhao,China,CHN,3,4,1,0,0,8,8,3769.75572367696,254519.054350069,0.0,0.0,0.0,258288.810073746,258288.810073746,9908.35229988808,0.0,2169.95625059153,0.0,0.0,12078.3085504796,12078.3085504796,250737
250737,2019/10/17 00:00:00+00,2019,10,17,port1105,Rizhao,China,CHN,1,6,1,0,0,8,8,0.0,204812.14629709,2729.47437940825,0.0,0.0,207541.620676499,207541.620676499,7680.52812130917,0.0,0.0,0.0,0.0,7680.52812130917,7680.52812130917,250738
